date,addition,deletion
1214092800,27534,-5764
1214697600,526,-677
1215302400,55,-38
1215907200,367,-253
1216512000,588,-433
1217116800,405,-367
1217721600,89,-607
1218326400,219,-45
1218931200,278,-234
1219536000,382,-169
1220140800,665,-296
1220745600,654,-237
1221350400,5895,-7245
1221955200,300,-300
1222560000,207,-76
1223164800,407,-618
1223769600,536,-28
1224374400,18976,-549
1224979200,788,-402
1225584000,347,-179
1226188800,338,-266
1226793600,312,-157
1227398400,5912,-4306
1228003200,698,-702
1228608000,199,-82
1229212800,2680,-1841
1229817600,1569,-1325
1230422400,5463,-2282
1231027200,2901,-752
1231632000,2017,-1019
1232236800,1029,-861
1232841600,5097,-2143
1233446400,756,-319
1234051200,1669,-1444
1234656000,2431,-2000
1235260800,1241,-711
1235865600,773,-210
1236470400,229,-139
1237075200,934,-210
1237680000,767,-523
1238284800,665,-164
1238889600,1407,-1648
1239494400,5056,-2241
1240099200,1750,-361
1240704000,1911,-1582
1241308800,38618,-61336
1241913600,304,-188
1242518400,1022,-850
1243123200,553,-501
1243728000,1,-2
1244332800,137,-116
1244937600,590,-762
1245542400,670,-540
1246147200,109,-154
1246752000,1117,-1042
1247356800,2292,-2135
1247961600,869,-886
1248566400,890,-731
1249171200,3020,-2859
1249776000,3866,-6723
1250380800,7575,-7618
1250985600,2131,-1429
1251590400,2420,-2091
1252195200,1768,-1381
1252800000,392,-278
1253404800,58,-63
1254009600,260,-2544
1254614400,961,-513
1255219200,142,-131
1255824000,181,-43
1256428800,85,-25
1257033600,371,-440
1257638400,541,-459
1258243200,141,-130
1258848000,153,-34
1259452800,242,-206
1260057600,26,-33
1260662400,3,-3
1261267200,0,0
1261872000,0,0
1262476800,0,0
1263081600,16,-16
1263686400,38,-1
1264291200,10,-4
1264896000,20,-20
1265500800,0,0
1266105600,2087,-29
1266710400,32,-9
1267315200,26,-55
1267920000,34,-192
1268524800,27,-20
1269129600,377,-229
1269734400,657,-562
1270339200,363,-114
1270944000,1774,-93
1271548800,279,-141
1272153600,62,-34
1272758400,53,-10
1273363200,3574,-156
1273968000,231,-20
1274572800,1505,-1505
1275177600,120,-98
1275782400,1829,-597
1276387200,260,-156
1276992000,39,-26
1277596800,50,-34
1278201600,54,-4
1278806400,92,-26
1279411200,23,-120
1280016000,272,-768
1280620800,372,-147
1281225600,886,-769
1281830400,2518,-2026
1282435200,1803,-1801
1283040000,1920,-620
1283644800,1377,-1065
1284249600,348,-71
1284854400,926,-770
1285459200,107,-1156
1286064000,47976,-153
1286668800,76,-56
1287273600,681,-157
1287878400,1657,-1242
1288483200,253,-106
1289088000,128,-60
1289692800,406,-1901
1290297600,21,-9
1290902400,581,-189
1291507200,12,-5
1292112000,101,-82
1292716800,91,-190
1293321600,132,-112
1293926400,141,-52
1294531200,16,-16
1295136000,0,0
1295740800,76,-18
1296345600,5,-1
1296950400,80,-33
1297555200,21,-5
1298160000,33,-22
1298764800,0,0
1299369600,436,-206
1299974400,0,0
1300579200,133,-15
1301184000,0,0
1301788800,63,-18
1302393600,32,-1
1302998400,67,-52461
1303603200,92,-434
1304208000,42,-12
1304812800,30,-33
1305417600,298,-159
1306022400,33,-59
1306627200,67,-1686
1307232000,277,-313
1307836800,425,-44
1308441600,103,-79
1309046400,6,-3
1309651200,105,-84
1310256000,284,-556
1310860800,533,-558
1311465600,470,-265
1312070400,908,-1077
1312675200,1223,-1026
1313280000,16,-17
1313884800,451,-436
1314489600,377,-233
1315094400,26,-12
1315699200,50,-92
1316304000,482,-172
1316908800,35,-54
1317513600,0,0
1318118400,0,0
1318723200,12,-7
1319328000,139,-78
1319932800,0,0
1320537600,10,-10
1321142400,50,-11
1321747200,0,0
1322352000,6,0
1322956800,17,-1
1323561600,26,-6
1324166400,7,-2
1324771200,40,-21
1325376000,302,-65
1325980800,6,-2
1326585600,11,-5
1327190400,29,-3
1327795200,84,0
1328400000,8,-3
1329004800,18,-13
1329609600,50,-414
1330214400,108,-258
1330819200,253,-243
1331424000,17,-94
1332028800,3319,-376
1332633600,0,0
1333238400,237,-10
1333843200,1055,-5927
1334448000,556,-531
1335052800,190,-162
1335657600,34,-31
1336262400,32,-7
1336867200,225,-125
1337472000,160,-83
1338076800,0,0
1338681600,6,-2
1339286400,21,-5
1339891200,195,-9
1340496000,43,-13
1341100800,1,-1
1341705600,2,-2
1342310400,1,-1
1342915200,7,-2
1343520000,0,0
1344124800,222,-142
1344729600,0,0
1345334400,499,-241
1345939200,924,-832
1346544000,188,-152
1347148800,347,-351
1347753600,682,-515
1348358400,22,-2
1348963200,341,-92
1349568000,64,-49
1350172800,4,-4
1350777600,113,-70
1351382400,68,-64
1351987200,86,-5
1352592000,11,-7
1353196800,27,-32
1353801600,117,-87
1354406400,216,-121
1355011200,89,-83
1355616000,1,-1
1356220800,859,-166
1356825600,741,-615
1357430400,754,-439
1358035200,104,-34
1358640000,114,-67
1359244800,228,-87
1359849600,47,-1911
1360454400,32,-16
1361059200,6,-6
1361664000,43,-14
1362268800,475,-39
1362873600,126,-72
1363478400,220,-74
1364083200,37,-4
1364688000,3,-8
1365292800,42,-7
1365897600,36,-15
1366502400,57,-1317
1367107200,4,-4
1367712000,151,-13
1368316800,182,-66
1368921600,6,0
1369526400,228,-120
1370131200,7178,-66
1370736000,8,0
1371340800,116,-56
1371945600,247,-50
1372550400,11,-30
1373155200,347,-64
1373760000,200,-50
1374364800,7,0
1374969600,26,-4
1375574400,127,-16
1376179200,515,-250
1376784000,288,-200
1377388800,138,-39
1377993600,86,-40
1378598400,42,-21
1379203200,133,-60
1379808000,325,-223
1380412800,392,-197
1381017600,506,-826
1381622400,887,-946
1382227200,331,-303
1382832000,71,-232
1383436800,215,-131
1384041600,298,-116
1384646400,208,-65
1385251200,179,-21
1385856000,161,-13
1386460800,6,0
1387065600,398,-146
1387670400,255,-222
1388275200,595,-208
1388880000,576,-96
1389484800,362,-415
1390089600,596,-253
1390694400,204,-112
1391299200,125,-33
1391904000,208,-54
1392508800,36,-25
1393113600,72,-72
1393718400,5453,-4881
1394323200,82,-9
1394928000,224,-81
1395532800,36,-7
1396137600,98,-14
1396742400,381,-270
1397347200,146,-122
1397952000,326,-73
1398556800,5,-2
1399161600,4,-3
1399766400,5,0
1400371200,68,-22
1400976000,326,-125
1401580800,117,-47
1402185600,63,-22
1402790400,81,-12
1403395200,282,-64
1404000000,248,-214
1404604800,152,-54
1405209600,394,-277
1405814400,251,-97
1406419200,13827,-13613
1407024000,250,-184
1407628800,221,-876
1408233600,1,-115
1408838400,14,-2
1409443200,29,-18
1410048000,80,-23
1410652800,7,-1
1411257600,210,-73
1411862400,6,-12
1412467200,2,-8
1413072000,0,0
1413676800,81,-10
1414281600,0,0
1414886400,32,-2
1415491200,139,-7
1416096000,73,-20
1416700800,88,-30
1417305600,35,-3
1417910400,57,-14
1418515200,717,-677
1419120000,0,0
1419724800,89,-8
1420329600,0,0
1420934400,75,-5
1421539200,74,-50
1422144000,6,-1
1422748800,61,-61
1423353600,9,-6
1423958400,14,-5
1424563200,863,-740
1425168000,80,-15
1425772800,338,-102
1426377600,721,-412
1426982400,442,-614
1427587200,342,-254
1428192000,307,-170
1428796800,1175,-1495
1429401600,7617,-7385
1430006400,409,-312
1430611200,428,-255
1431216000,192,-136
1431820800,695,-302
1432425600,134,-25
1433030400,290,-85
1433635200,172,-157
1434240000,601,-364
1434844800,173,-53
1435449600,210,-209
1436054400,137,-14
1436659200,183,-85
1437264000,603,-1269
1437868800,224,-159
1438473600,273,-380
1439078400,393,-704
1439683200,46,-29
1440288000,1027,-746
1440892800,219,-169
1441497600,59,-35
1442102400,132,-65
1442707200,116,-46
1443312000,29,-9
1443916800,250,-147
1444521600,43,-42
1445126400,0,0
1445731200,127,-35
1446336000,342,-207
1446940800,58,-24
1447545600,31,-18
1448150400,6,-4
1448755200,19,-15
1449360000,15,-13
1449964800,12,-20
1450569600,0,0
1451174400,59,-5
1451779200,96,-33
1452384000,467,-287
1452988800,754,-679
1453593600,569,-249
1454198400,900,-585
1454803200,27,-4
1455408000,615,-286
1456012800,168,-48
1456617600,170,-94
1457222400,30,-23
1457827200,1,-1
1458432000,44,-37
1459036800,199,-71
1459641600,53,-17
1460246400,285,-85
1460851200,413,-31
1461456000,58,-24
1462060800,0,0
1462665600,55,-42
1463270400,107,-14
1463875200,116,-52
1464480000,5,0
1465084800,181,-25
1465689600,471,-198
1466294400,105,-30
1466899200,0,0
1467504000,45,-47
1468108800,119,-56
1468713600,45,-17
1469318400,32,-13
1469923200,17,-21
1470528000,11,-387
1471132800,16,-4
1471737600,10,-10
1472342400,0,0
1472947200,0,0
1473552000,0,0
1474156800,0,0
1474761600,0,0
1475366400,0,0
